OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_ASIAN_PI_NH,COUNT_BLACK_NH,COUNT_HISPANIC,COUNT_MULTIRACIAL_NH,COUNT_WHITE_NH,PERCENT_ASIAN_PI_NH,PERCENT_BLACK_NH,PERCENT_HISPANIC,PERCENT_MULTIRACIAL_NH,PERCENT_WHITE_NH,Shape__Area,Shape__Length
48,42101003902,2010,Census tract,5507,80,17,99,44,5263,1.45269657,0.30869802,1.797712,0.79898311,95.56927547,772269.5078125,3875.49674486853
49,42101004001,2010,Census tract,4259,514,89,352,65,3220,12.06856069,2.08969242,8.2648509,1.52617985,75.60460202,536194.51953125,2905.81506736782
50,42101004002,2010,Census tract,4998,208,25,208,42,4507,4.16166467,0.50020008,4.16166467,0.84033613,90.17607043,586915.375,3068.18277562284
51,42101004101,2010,Census tract,6243,2081,1281,1288,150,1419,33.33333333,20.51898126,20.63110684,2.40269101,22.72945699,636636.875,3206.80181035171
52,42101004102,2010,Census tract,7848,2365,803,1125,182,3351,30.13506626,10.23190622,14.33486239,2.31906218,42.69877676,666987.79296875,3280.10917749386
53,42101004201,2010,Census tract,5105,431,278,274,65,4050,8.44270323,5.44564153,5.36728697,1.27326151,79.33398629,615624.484375,3209.41198998041
54,42101004202,2010,Census tract,4925,538,247,300,97,3732,10.92385787,5.01522843,6.09137056,1.96954315,75.77664975,771637.1796875,3556.38138508729
55,42101005000,2010,Census tract,13,0,1,4,0,8,0,7.69230769,30.76923077,0,61.53846154,13955531.7539063,19078.6996228956
56,42101005400,2010,Census tract,1314,79,997,49,22,160,6.01217656,75.87519026,3.72907154,1.67427702,12.17656012,4068454.5546875,9787.62534631282
57,42101005500,2010,Census tract,5635,204,4420,152,133,710,3.6202307,78.43833185,2.6974268,2.36024845,12.59982254,2008105.97265625,8110.38501696759
58,42101005600,2010,Census tract,1111,42,931,26,26,85,3.78037804,83.79837984,2.34023402,2.34023402,7.65076508,1429776.0546875,4686.59175741228
59,42101006000,2010,Census tract,6450,410,4593,170,104,1112,6.35658915,71.20930233,2.63565891,1.6124031,17.24031008,1858494.25390625,5650.72961826321
60,42101006100,2010,Census tract,3123,291,2308,49,53,412,9.3179635,73.90329811,1.56900416,1.69708614,13.19244316,897740.75,4079.00349950751
61,42101006200,2010,Census tract,4524,221,3704,107,76,408,4.88505747,81.87444739,2.36516357,1.67992927,9.01856764,867390.75,3761.392875698
62,42101006300,2010,Census tract,4236,612,3115,189,72,224,14.44759207,73.53635505,4.46175637,1.69971671,5.28800755,945839.53515625,4622.23364200879
63,42101006400,2010,Census tract,4472,526,3372,146,95,314,11.76207513,75.40250447,3.2647585,2.12432916,7.02146691,1110996.5390625,5213.19991074162
64,42101006500,2010,Census tract,4486,24,4255,78,71,31,0.53499777,94.85064646,1.73874276,1.58270174,0.69103879,1940776.49609375,9302.16137467486
65,42101006600,2010,Census tract,3750,417,2914,149,74,178,11.12,77.70666667,3.97333333,1.97333333,4.74666667,1108895.0859375,4449.31074302989
66,42101006700,2010,Census tract,7472,539,5691,279,155,763,7.21359743,76.1643469,3.73394004,2.07441113,10.2114561,1706382.08203125,5306.67800618849
67,42101006900,2010,Census tract,2539,2,2378,55,30,56,0.07877117,93.65892083,2.16620717,1.18156755,2.20559275,1382492.59765625,6100.31372719275
68,42101007000,2010,Census tract,3990,30,3788,40,65,51,0.7518797,94.93734336,1.00250627,1.62907268,1.27819549,799708.6484375,3625.23130046285
69,42101007101,2010,Census tract,2557,23,2308,40,57,122,0.89949159,90.26202581,1.5643332,2.22917481,4.77121627,431291.5625,2926.10007229706
70,42101007102,2010,Census tract,4924,19,4715,70,71,31,0.38586515,95.75548335,1.42160845,1.44191714,0.62956946,708100.4765625,3431.93594453045
71,42101007200,2010,Census tract,4773,41,4459,115,76,60,0.85899853,93.42132831,2.40938613,1.59228996,1.25707102,856105.85546875,3947.03763611043
72,42101007300,2010,Census tract,3088,33,2696,81,76,184,1.06865285,87.30569948,2.62305699,2.4611399,5.95854922,659489.015625,3857.48141154352
73,42101007400,2010,Census tract,4338,62,3762,120,77,285,1.42923006,86.7219917,2.76625173,1.77501153,6.56984786,1150582.1953125,4609.3493293111
74,42101007700,2010,Census tract,2380,586,696,51,58,966,24.62184874,29.24369748,2.14285714,2.43697479,40.58823529,548542.171875,3898.60544772224
75,42101007800,2010,Census tract,4177,245,1470,203,141,2099,5.86545367,35.19272205,4.85994733,3.37562844,50.25137659,728073.40234375,3615.8437902255
76,42101007900,2010,Census tract,4553,260,1699,242,186,2123,5.71052054,37.31605535,5.31517681,4.08521854,46.62859653,643945.8046875,3440.15879694337
77,42101008000,2010,Census tract,3951,47,3291,138,83,372,1.18957226,83.29536826,3.49278664,2.10073399,9.41533789,733424.859375,3406.4715801543
78,42101008101,2010,Census tract,2758,12,2610,48,48,32,0.4350979,94.6337926,1.74039159,1.74039159,1.16026106,415214.1171875,2830.62273781765
79,42101008102,2010,Census tract,5028,10,4786,101,77,33,0.19888624,95.18695306,2.00875099,1.53142403,0.65632458,617581.46875,3182.70477630921
80,42101008200,2010,Census tract,6797,47,6461,125,104,38,0.69148154,95.05664264,1.83904664,1.5300868,0.55907018,1438214.671875,4780.98059024168
81,42101008301,2010,Census tract,4081,44,3779,85,56,96,1.07816712,92.59985298,2.08282284,1.37221269,2.35236462,881873.0390625,4340.63414377369
82,42101008302,2010,Census tract,4307,40,4049,109,48,27,0.92872069,94.00975157,2.53076387,1.11446482,0.62688646,724556.41015625,4138.71176012725
83,42101008400,2010,Census tract,4488,22,4209,90,105,35,0.49019608,93.78342246,2.00534759,2.33957219,0.7798574,854982.26171875,3701.49813141015
84,42101008500,2010,Census tract,6313,95,5713,131,103,210,1.5048313,90.49580231,2.07508316,1.63155394,3.32646919,1058875.08203125,4129.12494699977
85,42101008601,2010,Census tract,2947,292,1070,118,87,1351,9.9083814,36.30810994,4.00407194,2.95215473,45.8432304,430148.1640625,3236.99844307604
86,42101008602,2010,Census tract,3010,106,2395,108,76,303,3.52159468,79.56810631,3.58803987,2.52491694,10.06644518,629041.4296875,3458.89243488676
87,42101008701,2010,Census tract,4147,1062,661,217,150,2031,25.60887388,15.93923318,5.23269834,3.61707258,48.97516277,442189.40625,3323.98013568838
88,42101008702,2010,Census tract,3036,665,381,196,79,1699,21.90382082,12.54940711,6.45586298,2.60210804,55.96179183,483125.76953125,3224.621315884
89,42101008801,2010,Census tract,988,298,88,55,33,510,30.16194332,8.90688259,5.56680162,3.34008097,51.6194332,314820.7578125,2387.22420851149
90,42101008802,2010,Census tract,6983,1887,782,350,278,3660,27.02276958,11.19862523,5.01217242,3.98109695,52.41300301,671388.234375,3891.89630000101
